location,sum_new_cases,sum_tot_cases
Saint Kitts and Nevis,7,385
Antigua and Barbuda,17,617
Finland,3577,99473
Sao Tome and Principe,14,118
Rwanda,168,4265
Bahrain,2473,48676
South Korea,988,315431
Eswatini,91,843
Gambia,7,233
Liberia,138,2056
Guatemala,561,7312
Andorra,369,19106
Vietnam,58,7778
New Zealand,832,38859
Angola,20,601
Uganda,39,1797
Monaco,43,2606
Egypt,4827,83386
Kyrgyzstan,639,13260
Mali,462,5898
Azerbaijan,1506,35353
Italy,99671,4928524
Brazil,81470,1048506
Democratic Republic of Congo,474,8639
Guinea-Bissau,197,1515
Netherlands,26845,847556
Namibia,5,472
Cameroon,1639,30497
Jordan,179,11816
Belarus,13875,150554
Madagascar,71,3143
Hong Kong,323,29443
Bolivia,1060,14801
Malaysia,3236,145040
San Marino,333,12054
Sri Lanka,520,9067
Indonesia,8590,164969
Jamaica,386,5011
Germany,91201,3942925
Philippines,6404,163684
Uzbekistan,1867,35053
Cuba,1315,25438
Lithuania,907,30598
Iceland,662,50142
Senegal,758,12025
Barbados,47,2071
Kuwait,3735,51368
Cyprus,588,19846
Hungary,2283,48858
Malawi,37,528
Switzerland,12981,767858
Estonia,944,41075
United States,888804,19960815
Algeria,3290,69497
Palestine,225,8597
Comoros,1,1
Ecuador,22694,321161
Nigeria,1797,19506
El Salvador,363,5333
North Macedonia,1136,29086
Malta,296,11099
Bahamas,67,1578
Bosnia and Herzegovina,1337,33408
Mongolia,26,784
Ethiopia,105,2558
Lebanon,255,18944
Montenegro,213,8188
Iraq,1391,42494
Saudi Arabia,21190,262096
Chad,66,797
Laos,10,503
Australia,2207,188206
Kosovo,693,12732
Mauritius,189,8914
Belize,15,411
United Kingdom,139956,3328344
Mexico,18009,229514
Albania,530,15632
Myanmar,136,2408
Sierra Leone,123,1108
Sweden,16767,391340
Honduras,630,13307
Nicaragua,9,269
Kenya,337,7263
Ukraine,9761,137421
Trinidad and Tobago,29,3315
Argentina,3374,77576
China,1354,2470700
Liechtenstein,14,2372
Fiji,13,464
Armenia,1534,36511
Serbia,8109,149995
Peru,35911,410944
Czechia,4374,184001
Vatican,5,247
Libya,51,1180
Burkina Faso,384,15230
India,33466,447607
Cote d'Ivoire,1096,20934
Maldives,450,2519
Croatia,1209,49646
Austria,5272,417242
Botswana,19,437
Dominica,4,460
Greece,1277,64317
United Arab Emirates,11817,175824
Equatorial Guinea,303,2867
Russia,104161,1129437
Israel,10179,367312
Qatar,12628,156835
Uruguay,305,15144
Zimbabwe,32,618
Syria,33,921
Poland,10566,235230
Suriname,1,300
Canada,47470,977776
Bulgaria,1107,25790
Afghanistan,1952,27074
Central African Republic,47,444
Togo,82,2313
Brunei,9,4089
Burundi,9,183
Cape Verde,115,1423
Saint Vincent and the Grenadines,15,329
Sudan,368,2897
Guyana,70,1562
Slovenia,627,36605
South Sudan,35,191
Haiti,61,1261
Tunisia,600,23056
Moldova,3544,62717
Ireland,17377,365860
Latvia,460,20149
Slovakia,1033,28263
Gabon,260,3106
Mozambique,68,1062
Somalia,596,5314
Guinea,1473,15955
Thailand,1303,77098
Norway,3097,200308
France,116583,3456319
Grenada,11,429
Benin,55,1178
Dominican Republic,5863,115932
Luxembourg,1606,99317
Belgium,35744,993613
Bhutan,3,167
Japan,12029,264160
Morocco,3806,71867
Tajikistan,15,15
Georgia,429,9767
Spain,117512,5236777
Yemen,6,31
Oman,2156,32202
Saint Lucia,4,442
Papua New Guinea,7,139
Turkey,106673,2098207
Eritrea,24,1027
Venezuela,198,6845
Bangladesh,7616,70283
Congo,201,3419
Ghana,1913,24029
Denmark,6317,203547
Romania,9995,222963
Pakistan,15996,246405
Singapore,15243,188949
Colombia,5601,101704
Panama,5351,112687
Cambodia,13,3583
Seychelles,1,325
Niger,692,15083
Mauritania,2,204
Tanzania,461,4575
Iran,50035,2255837
Nepal,52,792
Chile,14858,285413
South Africa,4294,88044
Djibouti,1059,16283
Zambia,71,1754
Portugal,17602,533042
Taiwan,107,11888
Kazakhstan,3059,46219
Costa Rica,372,17866
Paraguay,201,5046
Timor,23,365
