year,month,monthyear,sumnewcase,sumtotcase,caseinc,sumnewdeath,sumtotdeath,deathinc,sumicupat,sumhosppat,patinc,sumnewvacc,sumpartvacc,sumfullvacc,vaccinc
2020,2,2020-02,228948,5011370,NULL,8212,140816,NULL,367,1933,NULL,NULL,NULL,NULL,NULL
2020,3,2020-03,2767796,30688786,1208.91905585548,153115,1411019,1864.52752070141,137726,794588,40535.3913043478,NULL,NULL,NULL,NULL
2020,4,2020-04,7808776,213371811,282.129752337239,666093,15366243,435.027920190706,553651,2847661,364.824726433369,NULL,NULL,NULL,NULL
2020,5,2020-05,8889305,469427278,113.837367085443,472099,33667567,70.8758386591662,245584,1740273,58.3850290711349,NULL,NULL,NULL,NULL
2020,6,2020-06,12926127,776541618,145.412121645055,442245,45850266,93.67632636375,84481,781552,43.6100383864498,NULL,NULL,NULL,NULL
2020,7,2020-07,21614259,1337219941,167.213729216803,531134,62133971,120.099492362831,260839,1196681,168.298436664654,NULL,NULL,NULL,NULL
2020,8,2020-08,24188113,2066459656,111.908129721218,554116,79553596,104.326968335674,429367,1639768,141.962717492727,NULL,NULL,NULL,NULL
2020,9,2020-09,26512846,2756057288,109.611055645391,514308,92981400,92.815944675844,356777,1528071,91.0935245887774,NULL,NULL,NULL,NULL
2020,10,2020-10,39857386,3819428974,150.332355870056,579034,112515847,112.585065758262,573121,3009979,190.10020967208,NULL,NULL,NULL,NULL
2020,11,2020-11,57033720,5230052541,143.094481911082,921783,131197366,159.193242538435,1129561,6770033,220.468142111579,NULL,NULL,NULL,NULL
2020,12,2020-12,61969535,7310466721,108.654204915969,1169840,168826224,126.910563549122,1397160,7953796,118.372615098953,20555365,91625868,13356,NULL
2021,1,2021-01,62426009,9297092019,100.73661033603,1354748,207225918,115.806264104493,1529805,8572824,108.038461522009,249565810,2675460304,318173645,1214.11519571654
2021,2,2021-02,36303803,9749507010,58.154931865018,1007325,222046059,74.3551568262142,1040197,5568496,65.415576480142,446777675,8814103083,2613112581,179.021988228275
2021,3,2021-03,48463180,12024966045,133.493397372171,964738,274640188,95.7722681359045,898724,5272140,93.3749532623168,1019843309,22967113642,8705619334,228.266398718333
2021,4,2021-04,71494145,13450908811,147.522603758152,1205937,298016273,125.001502998742,979184,5421897,103.730709346374,1643880399,44235956104,18149419736,161.18950671078
2021,5,2021-05,60805413,16088659491,85.0495002073247,1173158,346453003,97.2818646413536,741784,3249072,62.3465942705615,2452686145,68755882905,33859412790,149.201009178771
2021,6,2021-06,34949841,16890629298,57.4781738592911,862073,365922332,73.4831113967599,324289,1306151,40.8543931427243,3483285063,123097419420,59574678142,142.019192716563
