location,year,month,monthyear,sumnewcase,sumtotcase,caseinc,sumnewdeath,sumtotdeath,deathinc,sumicupat,sumhosppat,patinc,sumnewvacc,sumpartvacc,sumfullvacc,vaccinc
Afghanistan,2020,2,2020-02,1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Albania,2020,2,2020-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Algeria,2020,2,2020-02,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Argentina,2020,2,2020-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Australia,2020,2,2020-02,16,431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Austria,2020,2,2020-02,9,19,56.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bahrain,2020,2,2020-02,41,167,455.555555555556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belarus,2020,2,2020-02,1,2,2.4390243902439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belgium,2020,2,2020-02,1,26,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brazil,2020,2,2020-02,2,5,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cambodia,2020,2,2020-02,0,29,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Canada,2020,2,2020-02,17,239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chile,2020,2,2020-02,2,14,11.7647058823529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
China,2020,2,2020-02,69471,1631818,3473550,2622,46380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Croatia,2020,2,2020-02,6,18,0.00863669732694218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denmark,2020,2,2020-02,3,5,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Egypt,2020,2,2020-02,1,16,33.3333333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Estonia,2020,2,2020-02,1,3,100,NULL,NULL,NULL,0,5,NULL,NULL,NULL,NULL,NULL
Fiji,2020,2,2020-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Finland,2020,2,2020-02,2,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
France,2020,2,2020-02,95,466,4750,2,19,NULL,21,244,NULL,NULL,NULL,NULL,NULL
